object_id,ra,decl,gal_l,gal_b,ddf,hostgal_specz,hostgal_photoz,hostgal_photoz_err,distmod,mwebv,target
9203,51.85547,-27.953188,223.54361,-55.56147,1.0,0.2138,0.1111,0.0626,38.5591,0.008,90
9936,32.871094,-4.780192,166.95949,-60.61513,1.0,0.1633,0.0719,0.0389,37.558,0.017,42
10337,54.66797,-27.615883,223.61078,-53.05084,1.0,0.683,0.6725,0.0089,43.0404,0.009,90
10478,52.910156,-27.953188,223.77408,-54.639214,1.0,0.5552,0.2233,0.2002,40.2248,0.007,90
10798,351.3,-62.3204,319.0386,-52.026867,1.0,0.1778,0.1872,0.0121,39.7959,0.018,42
11359,349.96622,-62.69666,319.543,-51.376556,1.0,0.1529,0.1415,0.0072,39.1281,0.021,42
11507,53.085938,-28.122234,224.1009,-54.50975,1.0,0.3312,0.5095,0.0718,42.3102,0.007,90
11978,358.64807,-46.37508,329.46265,-67.71601,1.0,0.492,0.4605,0.0179,42.0472,0.009,90
13079,151.69922,3.583322,236.53322,44.205647,1.0,0.2019,2.447,1.0434,46.4913,0.016,90
13194,53.789062,-27.784405,223.6857,-53.845802,1.0,0.5195,0.5624,0.2843,42.5685,0.009,90
13459,150.11719,2.836105,236.12473,42.48372,1.0,0.3495,0.3449,0.6556,41.3068,0.016,90
13482,33.75,-4.630479,168.14624,-59.949074,1.0,0.2929,0.3115,0.0205,41.0501,0.019,90
13504,1.363636,-46.76848,324.66934,-68.371414,1.0,0.4469,0.3816,0.0766,41.5643,0.008,90
14398,2.07113,-45.191612,325.60623,-69.989265,1.0,0.2812,0.2634,1.0581,40.631,0.011,90
14601,32.695312,-4.929937,166.86847,-60.84123,1.0,0.3837,0.3653,0.2005,41.4527,0.018,90
14674,33.75,-4.630479,168.14624,-59.949074,1.0,0.2012,0.0567,0.4176,37.0171,0.019,90
14983,349.6154,-63.636005,318.92725,-50.506542,1.0,0.3391,0.3238,0.0255,41.1476,0.018,90
15002,349.04605,-61.943836,320.79654,-51.753708,1.0,0.3409,0.3512,0.0531,41.353,0.017,90
15251,32.871094,-4.780192,166.95949,-60.61513,1.0,0.4653,2.327,0.6097,46.3585,0.017,90
15674,0.965665,-46.37508,325.84592,-68.57943,1.0,0.2927,0.2727,0.3286,40.7172,0.007,90
15845,53.789062,-27.784405,223.6857,-53.845802,1.0,0.3174,0.3471,0.8216,41.3232,0.009,90
15968,149.41406,2.238686,236.23976,41.56556,1.0,0.3509,0.4729,0.4544,42.1164,0.017,90
16463,151.69922,3.583322,236.53322,44.205647,1.0,0.2023,0.1805,0.0254,39.7082,0.016,90
16802,53.4375,-29.142223,225.90813,-54.336117,1.0,0.3145,0.3319,0.0234,41.2094,0.008,90
16983,150.11719,3.732834,235.12053,42.99381,1.0,0.2899,0.2762,0.1879,40.7495,0.02,90
17285,148.71094,2.836105,235.0508,41.32874,1.0,0.3073,0.3057,0.0484,41.0025,0.031,90
17366,349.2857,-62.884678,319.78616,-51.04646,1.0,0.2387,0.2024,0.0247,39.9853,0.018,90
17515,52.20703,-28.63099,224.80022,-55.343636,1.0,0.3577,0.3487,0.0073,41.3345,0.009,90
18029,359.4156,-46.76848,327.7299,-67.6861,1.0,0.3525,0.3609,0.0112,41.4219,0.009,90
18937,348.5959,-63.07262,320.0233,-50.71306,1.0,0.2142,0.2222,0.0102,40.2123,0.021,90
18952,151.69922,3.583322,236.53322,44.205647,1.0,0.28,0.2658,1.1944,40.6541,0.016,90
19866,359.81482,-44.399834,330.77502,-69.80101,1.0,0.2608,0.2877,0.0235,40.8505,0.009,90
20934,348.90845,-63.823658,319.1699,-50.176186,1.0,0.0999,2.5704,1.2137,46.6209,0.018,42
21335,33.57422,-5.379379,168.83809,-60.637535,1.0,0.1542,0.2082,0.422,40.0542,0.017,90
22184,358.3125,-44.99388,332.1858,-68.685905,1.0,0.3508,0.385,0.6064,41.5869,0.009,90
22901,151.17188,1.342993,238.60252,42.46438,1.0,0.2581,0.2502,0.0061,40.5039,0.026,90
23396,359.8117,-45.191612,329.4857,-69.1509,1.0,0.5667,0.6192,0.1193,42.822,0.01,90
23848,33.92578,-5.979157,170.1799,-60.866302,1.0,0.3316,0.3185,1.0181,41.1057,0.022,90
23857,151.69922,3.583322,236.53322,44.205647,1.0,0.2988,0.4769,0.0894,42.1379,0.016,90
24592,349.96622,-62.69666,319.543,-51.376556,1.0,0.2901,0.2846,0.0249,40.8234,0.021,90
24947,150.11719,2.238686,236.78462,42.139084,1.0,0.4723,0.4521,0.0193,41.9998,0.016,90
24989,34.804688,-5.829153,171.30786,-60.1744,1.0,0.4468,0.4763,0.0117,42.1349,0.023,90
25003,359.81482,-44.399834,330.77502,-69.80101,1.0,0.3137,0.2996,0.0218,40.9523,0.009,90
25039,346.5625,-63.448284,320.8247,-49.86696,1.0,0.3161,0.2675,1.1577,40.6696,0.021,90
25474,151.52344,3.134927,236.9007,43.80317,1.0,0.5236,0.5626,0.0155,42.5697,0.019,90
25529,358.3125,-44.99388,332.1858,-68.685905,1.0,0.2835,0.5789,0.218,42.6448,0.009,90
25577,348.52942,-61.75544,321.29398,-51.76335,1.0,0.4028,0.3918,0.017,41.6314,0.016,90
25783,150.82031,3.134927,236.34135,43.23012,1.0,0.104,0.1439,0.0116,39.1669,0.016,42
27339,51.85547,-26.276812,220.62703,-55.293793,1.0,0.1432,0.1625,0.0226,39.4561,0.014,90
27941,149.41406,1.940072,236.56537,41.393322,1.0,0.3632,0.3746,0.0319,41.5166,0.018,90
28220,1.694561,-45.191612,326.27856,-69.85825,1.0,0.2985,0.3605,0.3149,41.4193,0.011,90
28301,0.189873,-45.586655,328.25446,-68.9693,1.0,0.3606,0.2852,1.362,40.8288,0.007,90
28843,151.17188,2.537361,237.28853,43.169765,1.0,0.3664,0.3611,0.0225,41.4234,0.024,90
29088,52.558594,-27.279613,222.53894,-54.845108,1.0,0.3037,0.3244,0.0203,41.1521,0.008,90
29252,51.85547,-28.63099,224.73326,-55.64987,1.0,0.1439,0.1421,0.0233,39.1376,0.009,42
29416,1.694561,-45.191612,326.27856,-69.85825,1.0,0.2168,0.1921,0.0349,39.8588,0.011,90
29420,2.097458,-45.783966,324.73785,-69.478615,1.0,0.5849,0.5559,0.0102,42.5385,0.011,90
29576,346.65518,-63.260487,320.9522,-50.040936,1.0,0.2362,2.5224,1.0484,46.5713,0.019,90
29668,151.69922,3.583322,236.53322,44.205647,1.0,0.1461,0.1584,0.0175,39.396,0.016,42
30172,33.57422,-5.379379,168.83809,-60.637535,1.0,0.5444,0.5455,0.0094,42.4889,0.017,90
30545,2.07113,-45.191612,325.60623,-69.989265,1.0,0.216,0.2221,0.0338,40.2113,0.011,90
31100,1.694561,-45.191612,326.27856,-69.85825,1.0,0.3614,0.3471,1.2589,41.3231,0.011,90
31824,352.39865,-62.69666,318.01743,-51.967964,1.0,0.1838,0.0844,0.3311,37.9246,0.02,42
32309,34.804688,-5.829153,171.30786,-60.1744,1.0,0.2251,0.2258,0.9011,40.2521,0.023,42
32695,358.63635,-46.76848,328.89014,-67.38884,1.0,0.7689,0.7806,0.0113,43.4371,0.008,90
33088,351.259,-64.386185,317.34485,-50.25511,1.0,0.3437,0.3495,0.02,41.34,0.02,90
33179,51.85547,-27.953188,223.54361,-55.56147,1.0,0.4407,0.4765,0.4079,42.1357,0.008,90
33191,151.17188,2.238686,237.61993,42.99478,1.0,0.403,0.4039,0.0174,41.7094,0.024,42
33419,150.82031,3.732834,235.66632,43.57211,1.0,0.7462,0.7461,0.0356,43.3165,0.016,90
34166,0.189873,-45.586655,328.25446,-68.9693,1.0,0.0873,0.0909,0.0246,38.0959,0.007,42
35197,51.679688,-27.447618,222.61823,-55.64226,1.0,0.2509,0.2366,0.1269,40.367,0.01,42
35743,34.277344,-5.67919,170.31493,-60.41032,1.0,0.0781,0.0752,0.0197,37.6598,0.02,42
35772,150.11719,2.836105,236.12473,42.48372,1.0,0.2385,0.2588,0.0217,40.5879,0.016,90
35855,0.929752,-44.597992,328.53143,-70.083244,1.0,0.3815,0.4401,0.5094,41.93,0.011,90
36085,352.39865,-62.69666,318.01743,-51.967964,1.0,0.1689,0.1759,0.5357,39.6465,0.02,42
36783,349.96622,-62.69666,319.543,-51.376556,1.0,0.1287,0.1431,0.0129,39.1539,0.021,90
37149,359.8163,-44.003082,331.45135,-70.123055,1.0,0.9435,0.9017,0.0524,43.8228,0.013,90
37865,151.17188,2.238686,237.61993,42.99478,1.0,0.2263,0.2221,0.0172,40.2112,0.024,90
38205,33.75,-4.630479,168.14624,-59.949074,1.0,0.2945,0.2311,1.2272,40.3089,0.019,42
38690,33.222656,-4.780192,167.51566,-60.396584,1.0,0.1801,0.1274,0.0307,38.8795,0.018,90
38754,33.57422,-6.579593,170.45558,-61.548218,1.0,0.2646,0.2656,0.0093,40.6515,0.021,90
38899,1.666667,-44.399834,327.5192,-70.52956,1.0,0.4828,0.4754,0.0332,42.1297,0.009,90
39305,346.5625,-63.448284,320.8247,-49.86696,1.0,0.4045,0.2986,0.1602,40.9435,0.021,90
39398,51.679688,-27.447618,222.61823,-55.64226,1.0,0.3347,0.5555,0.5802,42.5365,0.01,90
39626,149.41406,2.238686,236.23976,41.56556,1.0,0.5197,0.4293,0.7344,41.8662,0.017,90
40290,35.859375,-4.630479,171.27077,-58.580807,1.0,0.3153,0.5118,0.8469,42.3221,0.022,42
41515,358.64807,-46.37508,329.46265,-67.71601,1.0,0.572,0.5797,0.0188,42.6484,0.009,90
41738,150.11719,3.732834,235.12053,42.99381,1.0,0.1206,0.1277,0.0222,38.8865,0.02,42
42224,51.328125,-27.784405,223.13058,-55.9995,1.0,0.1119,0.0888,0.1482,38.0396,0.013,42
42288,359.4156,-46.76848,327.7299,-67.6861,1.0,0.3487,0.3864,0.0241,41.5962,0.009,90
43028,51.679688,-27.447618,222.61823,-55.64226,1.0,0.1366,0.1364,0.0092,39.0408,0.01,42
43211,34.98047,-6.279288,172.18007,-60.3894,1.0,0.3321,0.3275,0.0164,41.1762,0.023,90
43337,51.328125,-27.447618,222.53505,-55.950726,1.0,0.1775,0.2488,0.018,40.4902,0.013,90
43812,150.82031,3.134927,236.34135,43.23012,1.0,0.2783,0.2821,0.0219,40.8022,0.016,90
43962,347.86185,-61.943836,321.5191,-51.42405,1.0,0.6595,0.6813,0.034,43.075,0.017,90
44102,152.05078,3.284369,237.15738,44.318466,1.0,0.245,0.264,0.2125,40.6366,0.019,42
44217,51.85547,-27.953188,223.54361,-55.56147,1.0,0.4288,0.1772,0.6584,39.6645,0.008,90
44309,34.98047,-6.279288,172.18007,-60.3894,1.0,0.3131,0.3059,1.2366,41.0045,0.023,90
45127,35.859375,-4.630479,171.27077,-58.580807,1.0,0.1378,0.1359,0.0125,39.0331,0.022,90
45319,348.5959,-63.07262,320.0233,-50.71306,1.0,0.127,0.0737,0.0272,37.6138,0.021,42
45549,52.20703,-28.29155,224.20853,-55.300156,1.0,0.6733,0.7639,0.0513,43.3795,0.007,42
47148,53.085938,-27.784405,223.52551,-54.460747,1.0,0.3153,0.3234,0.0167,41.1439,0.007,90
47725,351.259,-64.386185,317.34485,-50.25511,1.0,0.3615,0.295,0.7526,40.9133,0.02,90
48187,52.20703,-26.610098,221.29884,-55.042927,1.0,0.5466,0.5379,0.1063,42.4521,0.014,90
48260,52.20703,-28.29155,224.20853,-55.300156,1.0,0.1677,0.1746,0.4651,39.6283,0.007,42
48473,51.85547,-27.953188,223.54361,-55.56147,1.0,0.0809,0.0825,0.0165,37.8722,0.008,42
48575,32.695312,-4.929937,166.86847,-60.84123,1.0,0.7796,0.7698,0.0437,43.4,0.018,90
48817,348.58694,-64.573555,318.6939,-49.477867,1.0,0.0962,0.1446,0.6309,39.1788,0.018,90
50395,349.8913,-64.573555,317.9721,-49.786194,1.0,0.1552,0.1574,0.3022,39.3801,0.023,90
51279,1.708861,-45.586655,325.68872,-69.520256,1.0,0.176,0.1824,0.3979,39.7343,0.011,90
51490,0.574468,-45.98114,327.04108,-68.77876,1.0,0.3707,0.4717,0.381,42.1099,0.006,90
52150,52.20703,-26.610098,221.29884,-55.042927,1.0,0.2746,0.3069,0.0656,41.0122,0.014,90
52425,52.910156,-26.276812,220.92615,-54.36392,1.0,0.1587,0.1182,0.6266,38.7042,0.008,42
52740,53.61328,-27.953188,223.92953,-54.024773,1.0,0.3653,0.4721,0.8955,42.1118,0.007,90
52854,149.41406,1.940072,236.56537,41.393322,1.0,0.4383,0.4343,0.0335,41.8957,0.018,90
53249,349.2857,-62.884678,319.78616,-51.04646,1.0,0.3941,0.4211,0.4203,41.8166,0.018,90
53574,0.574468,-45.98114,327.04108,-68.77876,1.0,0.4176,0.4427,0.042,41.9454,0.006,90
53782,53.26172,-27.615883,223.28004,-54.281376,1.0,0.3798,0.3714,0.0189,41.4948,0.006,90
54416,347.8125,-63.448284,320.12897,-50.202347,1.0,0.3708,0.3734,0.0162,41.5087,0.021,42
55002,52.20703,-28.29155,224.20853,-55.300156,1.0,0.4345,0.4175,0.0286,41.7946,0.007,90
55033,151.17188,1.342993,238.60252,42.46438,1.0,0.492,0.5345,0.0204,42.4355,0.026,42
55060,51.85547,-28.63099,224.73326,-55.64987,1.0,0.0234,0.0824,0.0202,37.868,0.009,42
55354,350.23026,-61.943836,320.05396,-52.070538,1.0,0.1958,2.387,0.2904,46.4258,0.017,90
56053,150.29297,2.686724,236.42749,42.541447,1.0,0.8507,0.8283,0.0406,43.5954,0.016,90
56461,347.8125,-63.448284,320.12897,-50.202347,1.0,0.176,2.4036,1.0097,46.444,0.021,90
57205,359.8163,-44.003082,331.45135,-70.123055,1.0,0.5891,0.6057,0.0306,42.7639,0.013,90
57237,52.20703,-26.610098,221.29884,-55.042927,1.0,0.2544,0.3807,0.6581,41.558,0.014,42
57666,1.666667,-44.399834,327.5192,-70.52956,1.0,0.4399,0.4648,0.0183,42.0716,0.009,90
58174,348.52942,-61.75544,321.29398,-51.76335,1.0,1.1032,1.1018,0.1226,44.3607,0.016,42
59068,34.277344,-5.079716,169.52684,-59.95664,1.0,0.5716,0.5429,0.1404,42.4762,0.019,42
59128,348.52942,-61.75544,321.29398,-51.76335,1.0,0.6794,0.4288,0.2152,41.8629,0.016,90
59463,52.03125,-26.443335,220.96367,-55.168556,1.0,0.1439,0.1438,0.0169,39.1654,0.014,42
59580,1.753247,-46.76848,324.03024,-68.49804,1.0,0.4178,0.502,0.7485,42.2716,0.014,42
59644,34.98047,-6.279288,172.18007,-60.3894,1.0,0.4238,0.3347,0.1863,41.2308,0.023,90
59732,347.8125,-63.448284,320.12897,-50.202347,1.0,0.2489,2.7125,0.9243,46.7623,0.021,90
60023,359.81482,-44.399834,330.77502,-69.80101,1.0,0.6857,0.6858,0.0077,43.0925,0.009,90
60098,53.26172,-27.615883,223.28004,-54.281376,1.0,0.2529,0.2478,0.0697,40.4804,0.006,90
61763,52.20703,-28.29155,224.20853,-55.300156,1.0,0.5749,0.5237,0.0263,42.3819,0.007,90
62253,51.328125,-27.447618,222.53505,-55.950726,1.0,0.7671,0.761,0.0367,43.3693,0.013,90
62254,53.085938,-27.11186,222.3843,-54.355087,1.0,0.2738,0.2895,0.018,40.8666,0.007,90
62541,347.01343,-62.508568,321.47205,-50.73533,1.0,0.549,0.328,0.8012,41.1797,0.018,90
63561,359.81482,-44.399834,330.77502,-69.80101,1.0,0.7386,0.7247,0.0129,43.239,0.009,90
63718,0.965665,-46.37508,325.84592,-68.57943,1.0,0.2891,0.42,0.0613,41.81,0.007,90
63860,351.38297,-64.01124,317.57407,-50.604656,1.0,0.1617,0.1988,0.0128,39.9412,0.023,42
64888,52.03125,-26.443335,220.96367,-55.168556,1.0,0.3802,0.4086,0.7097,41.739,0.014,90
64896,347.8467,-64.76086,318.92984,-49.143597,1.0,0.0991,0.1224,1.1874,38.7854,0.019,42
64911,150.82031,1.64151,237.9945,42.358986,1.0,0.2375,2.2621,1.0009,46.2837,0.02,90
65745,53.085938,-28.122234,224.1009,-54.50975,1.0,0.068,0.0552,1.1581,36.9555,0.007,90
66126,348.90845,-63.823658,319.1699,-50.176186,1.0,0.0601,0.0718,0.0163,37.5531,0.018,42
66536,150.9961,2.388015,237.31392,42.939976,1.0,0.3144,0.315,0.2975,41.0779,0.021,90
66548,347.61746,-62.508568,321.12146,-50.90471,1.0,0.3713,0.4282,1.3857,41.8598,0.019,90
66852,2.07113,-45.191612,325.60623,-69.989265,1.0,0.5802,0.5679,0.0103,42.5945,0.011,42
66999,33.222656,-4.780192,167.51566,-60.396584,1.0,0.3635,0.4147,0.0332,41.777,0.018,90
67245,150.29297,2.686724,236.42749,42.541447,1.0,0.0482,0.0598,0.0147,37.1379,0.016,42
67514,34.101562,-5.829153,170.24776,-60.638325,1.0,0.2756,0.5256,0.1081,42.3913,0.019,90
67686,359.4156,-46.76848,327.7299,-67.6861,1.0,0.1785,0.204,0.0109,40.0042,0.009,90
67730,52.910156,-25.94448,220.36635,-54.301437,1.0,0.3927,0.3926,0.0321,41.6368,0.01,90
67898,347.8125,-63.448284,320.12897,-50.202347,1.0,0.3824,0.3802,0.0081,41.5546,0.021,42
68003,150.82031,3.732834,235.66632,43.57211,1.0,0.4201,0.4099,0.0162,41.7474,0.016,90
68276,33.398438,-3.732834,166.49228,-59.466614,1.0,0.0251,0.0342,0.0167,35.8818,0.022,42
68298,349.42953,-62.508568,320.03964,-51.393745,1.0,0.6264,0.6544,0.1479,42.9683,0.02,90
68835,348.90845,-63.823658,319.1699,-50.176186,1.0,0.0177,0.0504,0.0318,36.753,0.018,42
69271,148.71094,2.836105,235.0508,41.32874,1.0,0.4269,0.4491,0.8217,41.9826,0.031,90
69490,51.85547,-26.276812,220.62703,-55.293793,1.0,0.2919,0.4825,0.1693,42.1687,0.014,42
70046,351.32144,-64.198746,317.45898,-50.42993,1.0,0.3441,0.3129,0.028,41.061,0.023,90
70135,0.949367,-45.586655,326.99155,-69.251686,1.0,0.45,0.4728,0.0167,42.116,0.013,42
70171,53.789062,-27.784405,223.6857,-53.845802,1.0,0.4708,0.5059,0.0358,42.2916,0.009,90
70430,150.82031,1.64151,237.9945,42.358986,1.0,0.0451,0.0858,0.0255,37.9624,0.02,42
70571,149.41406,1.940072,236.56537,41.393322,1.0,0.3902,0.4137,1.1078,41.7706,0.018,90
70898,151.17188,2.238686,237.61993,42.99478,1.0,0.5346,0.5478,0.0157,42.4996,0.024,90
70977,51.328125,-27.784405,223.13058,-55.9995,1.0,0.3428,0.3404,0.0099,41.2737,0.013,90
71084,52.558594,-27.279613,222.53894,-54.845108,1.0,0.1522,0.1472,0.0208,39.2216,0.008,42
71954,1.666667,-44.399834,327.5192,-70.52956,1.0,0.2483,0.2571,0.6448,40.5711,0.009,90
72337,34.277344,-5.079716,169.52684,-59.95664,1.0,0.2449,0.2107,0.1165,40.0824,0.019,90
72426,51.679688,-27.447618,222.61823,-55.64226,1.0,0.5166,0.3846,0.3149,41.5839,0.01,90
72428,33.57422,-5.379379,168.83809,-60.637535,1.0,0.2214,2.4663,0.4396,46.512,0.017,90
72489,53.61328,-26.944359,222.2374,-53.863857,1.0,0.8358,0.8312,0.0197,43.6047,0.009,90
72525,34.101562,-5.829153,170.24776,-60.638325,1.0,0.2407,0.258,0.0145,40.5802,0.019,90
73236,33.398438,-3.732834,166.49228,-59.466614,1.0,0.1398,0.528,0.4528,42.4036,0.022,90
73339,351.3,-62.3204,319.0386,-52.026867,1.0,0.5183,0.201,0.3771,39.9686,0.018,90
73509,34.453125,-5.229529,169.98708,-59.956184,1.0,0.2953,0.2879,0.0259,40.8522,0.019,42
74093,351.259,-64.386185,317.34485,-50.25511,1.0,0.394,0.4643,1.0625,42.0686,0.02,90
75223,351.38297,-64.01124,317.57407,-50.604656,1.0,0.5652,0.5648,0.0157,42.58,0.023,90
75598,1.723404,-45.98114,325.11795,-69.180824,1.0,0.1652,0.1477,0.0151,39.2287,0.01,42
75792,148.88672,2.686724,235.34724,41.389004,1.0,0.3699,0.3602,0.0451,41.4171,0.028,90
75886,358.63635,-46.76848,328.89014,-67.38884,1.0,0.3985,0.3735,0.0375,41.5091,0.008,90
76242,152.05078,2.985506,237.49596,44.14393,1.0,0.4916,0.5572,0.3767,42.5443,0.019,90
76639,346.5,-62.3204,321.95114,-50.736053,1.0,0.5322,0.5077,0.0148,42.3012,0.02,90
77041,346.27658,-64.01124,320.44803,-49.344135,1.0,0.3793,0.407,0.6742,41.729,0.019,90
77222,151.17188,1.342993,238.60252,42.46438,1.0,0.4342,0.3228,0.3114,41.1398,0.026,90
77306,148.71094,2.836105,235.0508,41.32874,1.0,0.7167,0.6876,0.0165,43.0996,0.031,90
77623,0.190678,-45.783966,327.95633,-68.80377,1.0,0.2765,0.2994,0.0135,40.9507,0.005,42
77825,349.04605,-61.943836,320.79654,-51.753708,1.0,0.1071,0.1065,0.016,38.4603,0.017,42
77906,359.8117,-45.191612,329.4857,-69.1509,1.0,0.1265,0.0738,0.0297,37.6154,0.01,90
77952,358.66525,-45.783966,330.3536,-68.20365,1.0,0.1258,0.0858,0.0192,37.9614,0.009,90
78233,148.71094,2.836105,235.0508,41.32874,1.0,0.2391,0.206,0.0706,40.0283,0.031,90
78727,51.679688,-27.447618,222.61823,-55.64226,1.0,0.1592,0.1479,0.0203,39.2318,0.01,90
78974,152.05078,3.284369,237.15738,44.318466,1.0,0.6592,0.6572,0.0085,42.9797,0.019,90
79002,2.097458,-45.783966,324.73785,-69.478615,1.0,0.4446,0.2938,0.8441,40.9035,0.011,90
79155,1.666667,-44.399834,327.5192,-70.52956,1.0,0.4097,0.4154,0.016,41.7815,0.009,42
79235,52.03125,-26.443335,220.96367,-55.168556,1.0,0.1639,0.1669,0.0564,39.5206,0.014,42
79515,53.964844,-28.63099,225.14294,-53.813614,1.0,0.2207,0.2188,1.1526,40.1744,0.009,90
79743,32.695312,-4.929937,166.86847,-60.84123,1.0,0.6266,0.6062,0.0094,42.7661,0.018,90
79819,150.82031,1.64151,237.9945,42.358986,1.0,0.1742,0.1725,0.0134,39.5994,0.02,42
79921,352.13287,-63.636005,317.42416,-51.095856,1.0,0.1638,0.1709,0.0219,39.5766,0.021,42
80155,53.085938,-28.122234,224.1009,-54.50975,1.0,0.3628,0.3633,0.0418,41.4386,0.007,90
80780,152.05078,3.284369,237.15738,44.318466,1.0,0.1684,0.1902,0.0581,39.8341,0.019,42
80832,150.11719,2.238686,236.78462,42.139084,1.0,0.395,0.3665,0.0146,41.4614,0.016,90
80903,52.910156,-26.276812,220.92615,-54.36392,1.0,0.414,0.4279,0.0171,41.8576,0.008,90
81000,150.9961,2.985506,236.64796,43.28735,1.0,0.2989,0.3106,0.01,41.0422,0.02,42
81464,149.41406,3.433834,234.91913,42.24555,1.0,0.2854,0.2818,0.3207,40.7987,0.027,42
82409,348.5959,-63.07262,320.0233,-50.71306,1.0,0.1147,2.6274,1.1973,46.6786,0.021,42
82702,35.683594,-5.379379,171.99295,-59.2535,1.0,0.3194,0.2986,0.0204,40.9437,0.02,90
83410,51.85547,-26.276812,220.62703,-55.293793,1.0,0.5138,0.5071,0.0093,42.298,0.014,90
83462,150.82031,3.134927,236.34135,43.23012,1.0,0.3424,0.3239,0.0179,41.1483,0.016,90
83872,149.58984,3.583322,234.88538,42.474697,1.0,0.216,0.2054,0.2819,40.0211,0.024,90
83954,346.27658,-64.01124,320.44803,-49.344135,1.0,0.439,0.4535,0.0428,42.0079,0.019,90
83961,1.753247,-46.76848,324.03024,-68.49804,1.0,0.2177,0.2211,0.0151,40.2004,0.014,90
84716,151.52344,3.134927,236.9007,43.80317,1.0,0.4303,0.2925,1.0152,40.8923,0.019,90
85490,348.90845,-63.823658,319.1699,-50.176186,1.0,0.2537,0.5506,0.288,42.513,0.018,90
86456,33.57422,-5.379379,168.83809,-60.637535,1.0,0.2127,0.2191,0.0141,40.1785,0.017,42
86487,0.574468,-45.98114,327.04108,-68.77876,1.0,0.385,0.3847,0.0333,41.5849,0.006,90
86834,149.58984,3.583322,234.88538,42.474697,1.0,0.316,0.4622,0.4742,42.0568,0.024,90
87608,358.66525,-45.783966,330.3536,-68.20365,1.0,0.1894,0.2101,0.0179,40.0763,0.009,90
87685,347.86185,-61.943836,321.5191,-51.42405,1.0,0.3743,0.3612,0.0219,41.4237,0.017,90
87703,51.85547,-26.276812,220.62703,-55.293793,1.0,0.3246,0.5019,0.3014,42.2711,0.014,90
88195,53.964844,-28.63099,225.14294,-53.813614,1.0,0.3403,0.3448,0.0304,41.3063,0.009,90
88587,352.71127,-63.823658,316.9223,-51.059402,1.0,0.7839,0.7789,0.012,43.4314,0.024,90
88600,351.32144,-64.198746,317.45898,-50.42993,1.0,0.3303,0.315,0.3295,41.0778,0.023,90
89387,346.13013,-63.07262,321.4231,-50.042305,1.0,0.621,0.4739,0.0648,42.1217,0.02,90
89455,0.189873,-45.586655,328.25446,-68.9693,1.0,0.2603,0.2485,0.0142,40.4873,0.007,90
